city,lat,long
Albuquerque,35.0843859,-106.650422
Atlanta,33.7489954,-84.3879824
Austin,30.267153,-97.7430608
Baltimore,39.2903848,-76.6121893
Boston,42.3600825,-71.0588801
Charlotte,35.2270869,-80.8431267
Chicago,41.8781136,-87.6297982
Cincinnati,39.1031182,-84.5120196
Columbus,39.9611755,-82.99879419999999
Dallas,32.7766642,-96.79698789999999
Denver,39.7392358,-104.990251
Detroit,42.331427,-83.0457538
Honolulu,21.3069444,-157.8583333
Houston,29.7604267,-95.3698028
Indianapolis,39.768403,-86.158068
Jacksonville,30.3321838,-81.65565099999999
Kansas City,39.0997265,-94.5785667
Las Vegas,36.1699412,-115.1398296
Los Angeles,34.0522342,-118.2436849
Madison,43.0730517,-89.4012302
Miami,25.7616798,-80.1917902
Milwaukee,43.0389025,-87.9064736
Minneapolis,44.977753,-93.2650108
New York,40.7127753,-74.0059728
Oakland,37.8043514,-122.2711639
Orlando,28.5383355,-81.3792365
Philadelphia,39.9525839,-75.1652215
Phoenix,33.4483771,-112.0740373
Pittsburgh,40.44062479999999,-79.9958864
Portland,45.5051064,-122.6750261
Sacramento,38.5815719,-121.4943996
Saint Louis,38.6270025,-90.19940419999999
Salt Lake City,40.7607793,-111.8910474
San Antonio,29.4241219,-98.49362819999999
San Diego,32.715738,-117.1610838
San Francisco,37.7749295,-122.4194155
San Jose,37.3382082,-121.8863286
Seattle,47.6062095,-122.3320708
Tampa,27.950575,-82.4571776
Tucson,32.2226066,-110.9747108
Washington,47.7510741,-120.7401385
